date,close,sp500,nasdaq100,DoeJonesIA,USDtoCNY,USDtoEUR,USDtoJPY,AnalogDevice,Jabil,Microsoft,Nidec,Qualcomm,TSMC,CPI,USA MSCI,will5000
2009-06-22T00:00:00.000Z,19.624287,893.039978,1426.609985,8339.009766,6.8355,0.7214,95.43,23.65,6.61,23.280001,7.53,44.400002,9.034826,-1.426776,759.8,34.5
2009-06-23T00:00:00.000Z,19.144285,895.099976,1424.459961,8322.910156,6.8347,0.7104,95.33,23.34,7.12,23.34,7.555,44.490002,9.19403,-1.426776,759.8,34.54
2009-06-24T00:00:00.000Z,19.46,900.940002,1447.060059,8299.860352,6.8332,0.718,95.71,23.73,7.32,23.469999,7.615,45.27,9.492537,-1.426776,759.8,34.82
2009-06-25T00:00:00.000Z,19.98,920.26001,1475.819946,8472.400391,6.8346,0.7148,95.77,24.790001,7.21,23.790001,7.85,46.34,9.57214,-1.426776,759.8,35.57
2009-06-26T00:00:00.000Z,20.348572,918.900024,1480.199951,8438.389648,6.8335,0.7116,95.2,24.780001,7.16,23.35,7.73,46.189999,9.522388,-1.426776,759.8,35.6
2009-06-29T00:00:00.000Z,20.28143,927.22998,1483.829956,8529.379883,6.8335,0.7104,96.15,24.68,7.46,23.860001,7.655,46.09,9.502487,-1.426776,759.8,35.89
2009-06-30T00:00:00.000Z,20.347143,919.320007,1477.25,8447,6.8305,0.7126,96.23,24.780001,7.42,23.77,7.555,45.200001,9.363184,-1.426776,759.8,35.63
2009-07-01T00:00:00.000Z,20.404285,923.330017,1481.339966,8504.05957,6.8341,0.7066,96.51,24.860001,7.67,24.040001,8.11,45.16,9.393035,-2.097161,818.1,35.83
2009-07-02T00:00:00.000Z,20.002857,896.419983,1446.280029,8280.740234,6.8314,0.7171,95.82,24.700001,7.2,23.370001,7.82,44.68,9.323383,-2.097161,818.1,34.79
2009-07-06T00:00:00.000Z,19.801428,898.719971,1441.01001,8324.870117,6.8344,0.7156,95.22,24.08,7.13,23.200001,8.305,45.200001,9.303483,-2.097161,818.1,34.79
2009-07-07T00:00:00.000Z,19.342857,881.030029,1404.780029,8163.600098,6.8328,0.7183,94.62,23.799999,6.81,22.530001,8.155,43.68,9.154229,-2.097161,818.1,34.1
